名称,大类,中类,经度,纬度,省份,地级市,category
公厕,生活服务,公厕,113.99623,22.263654,香港特别行政区,香港特别行政区,Core_Necessity
大屿山白银乡公厕,生活服务,公厕,113.995645,22.268708,香港特别行政区,香港特别行政区,Core_Necessity
梅窝,交通设施,轮渡,114.007648,22.262311,香港特别行政区,香港特别行政区,Transit_Link
涌口村公厕,生活服务,公厕,114.002267,22.265841,香港特别行政区,香港特别行政区,Core_Necessity
公厕,生活服务,公厕,113.996423,22.264581,香港特别行政区,香港特别行政区,Core_Necessity
La Pizzeria,餐饮美食,小吃快餐,114.005785,22.261672,香港特别行政区,香港特别行政区,Rehabus_Ops
旧时公厕遗迹,生活服务,公厕,113.997002,22.269391,香港特别行政区,香港特别行政区,Core_Necessity
菜园村公厕,生活服务,公厕,113.993177,22.266035,香港特别行政区,香港特别行政区,Core_Necessity
大屿山郊野生态公园,旅游景点,公园,113.992914,22.253518000000003,香港特别行政区,香港特别行政区,Social_Wellness
CheckPoint C,旅游景点,公园,113.992804,22.253675,香港特别行政区,香港特别行政区,Social_Wellness
合成汽车,汽车相关,汽车维修,114.006468,22.261029,香港特别行政区,香港特别行政区,Rehabus_Ops
